Report Date,Age Group,Fatality Count,Percent
06/05/2023,90 and Over,10287,16.4
06/05/2023,Unknown,9,0
06/05/2023,Statewide Total,62627,100
06/02/2023,0 to 9,47,0.1
06/02/2023,10 to 19,40,0.1
06/02/2023,20 to 29,265,0.4
06/02/2023,30 to 39,814,1.3
06/02/2023,40 to 49,1894,3
06/02/2023,50 to 59,5211,8.3
06/02/2023,60 to 69,11004,17.6
06/02/2023,70 to 79,16066,25.7
06/02/2023,80 to 89,16979,27.1
06/02/2023,90 and Over,10285,16.4
06/02/2023,Unknown,9,0
06/02/2023,Statewide Total,62614,100
06/01/2023,0 to 9,47,0.1
06/01/2023,10 to 19,40,0.1
06/01/2023,20 to 29,265,0.4
06/01/2023,30 to 39,814,1.3
06/01/2023,40 to 49,1894,3
06/01/2023,50 to 59,5211,8.3
06/01/2023,60 to 69,11004,17.6
06/01/2023,70 to 79,16066,25.7
06/01/2023,80 to 89,16976,27.1
06/01/2023,90 and Over,10285,16.4
06/01/2023,Unknown,9,0
06/01/2023,Statewide Total,62611,100
05/31/2023,0 to 9,47,0.1
05/31/2023,10 to 19,40,0.1
05/31/2023,20 to 29,265,0.4
05/31/2023,30 to 39,814,1.3
05/31/2023,40 to 49,1893,3
05/31/2023,50 to 59,5211,8.3
05/31/2023,60 to 69,11004,17.6
05/31/2023,70 to 79,16065,25.7
05/31/2023,80 to 89,16975,27.1
05/31/2023,90 and Over,10285,16.4
05/31/2023,Unknown,9,0
05/31/2023,Statewide Total,62608,100
05/30/2023,0 to 9,47,0.1
05/30/2023,10 to 19,40,0.1
05/30/2023,20 to 29,265,0.4
05/30/2023,30 to 39,814,1.3
05/30/2023,40 to 49,1893,3
05/30/2023,50 to 59,5211,8.3
05/30/2023,60 to 69,11003,17.6
05/30/2023,70 to 79,16065,25.7
05/30/2023,80 to 89,16975,27.1
05/30/2023,90 and Over,10283,16.4
05/30/2023,Unknown,9,0
05/30/2023,Statewide Total,62605,100
05/26/2023,0 to 9,47,0.1
05/26/2023,10 to 19,39,0.1
05/26/2023,20 to 29,265,0.4
05/26/2023,30 to 39,813,1.3
05/26/2023,40 to 49,1893,3
05/26/2023,50 to 59,5210,8.3
05/26/2023,60 to 69,11003,17.6
05/26/2023,70 to 79,16061,25.7
05/26/2023,80 to 89,16970,27.1
05/26/2023,90 and Over,10281,16.4
05/26/2023,Unknown,9,0
05/26/2023,Statewide Total,62591,100
05/25/2023,0 to 9,47,0.1
05/25/2023,10 to 19,39,0.1
05/25/2023,20 to 29,265,0.4
05/25/2023,30 to 39,812,1.3
05/25/2023,40 to 49,1893,3
05/25/2023,50 to 59,5210,8.3
05/25/2023,60 to 69,11003,17.6
05/25/2023,70 to 79,16061,25.7
05/25/2023,80 to 89,16969,27.1
05/25/2023,90 and Over,10280,16.4
05/25/2023,Unknown,9,0
05/25/2023,Statewide Total,62588,100
05/24/2023,0 to 9,47,0.1
05/24/2023,10 to 19,39,0.1
05/24/2023,20 to 29,265,0.4
05/24/2023,30 to 39,812,1.3
05/24/2023,40 to 49,1893,3
05/24/2023,50 to 59,5209,8.3
05/24/2023,60 to 69,11003,17.6
05/24/2023,70 to 79,16057,25.7
05/24/2023,80 to 89,16967,27.1
05/24/2023,90 and Over,10279,16.4
05/24/2023,Unknown,9,0
05/24/2023,Statewide Total,62580,100
05/23/2023,0 to 9,47,0.1
05/23/2023,10 to 19,39,0.1
05/23/2023,20 to 29,265,0.4
05/23/2023,30 to 39,812,1.3
05/23/2023,40 to 49,1893,3
05/23/2023,50 to 59,5208,8.3
05/23/2023,60 to 69,11003,17.6
05/23/2023,70 to 79,16055,25.7
