"","time","S1","S2","S3","E1","E2","E3","I1","I2","I3","R1","R2","R3"
"98",97,2.5786295959619e-08,4.34709978294816e-08,0.0135861688374573,82224.3409169009,124127.892095887,124311.500809735,759149.565097411,1138580.93708028,1044004.08767676,9464386.09398565,14019296.1708238,10986226.3979273
"99",98,2.14561235642815e-08,3.60888735874067e-08,0.0120437490223991,75902.6331466571,114584.486199091,114753.979884797,721073.475755558,1081534.1859128,992478.759389614,9508783.89109775,14085886.3278881,11047309.2486818
"100",99,1.80082361933643e-08,3.02235734202432e-08,0.0107366986045161,70066.9613687549,105774.812218408,105931.27586501,684743.211671187,1027097.71002084,943241.110853003,9550949.82696003,14149132.4777607,11105369.6025453
"101",100,1.52399851860149e-08,2.55239869159916e-08,0.00962327021192463,64679.9573601763,97642.4581631449,97786.8933818182,650093.358657234,975174.229887363,896212.729984744,9590986.68398256,14209188.3119495,11160542.3670102
"102",101,1.30000700632816e-08,2.17289183400637e-08,0.00866999884755268,59707.1259034161,90135.3492025565,90268.680629066,617059.524553874,925667.923187962,851315.556921686,9628993.34954269,14266201.7276095,11212957.7537792
"103",102,1.11738128450383e-08,1.86405271686013e-08,0.00784990818609592,55116.6238993436,83205.4142091788,83328.4954158012,585578.494015577,878484.663451108,808472.187506277,9665064.88208506,14320314.9223397,11262741.309228
"104",103,9.67409397309445e-09,1.61089333048483e-08,0.00714113364605352,50879.0564626368,76808.2779394679,76921.8968937081,555588.357807635,833532.219946684,767606.134189599,9699292.58572971,14371664.5021138,11310013.9617756
"105",104,8.43402011033788e-09,1.40192666144058e-08,0.00652586035183728,46967.2886941648,70902.9768807488,71007.8609853885,527028.619363171,790720.422972717,728642.04874558,9731764.09194265,14420381.6001465,11354892.0837432
"106",105,7.40185041551192e-09,1.2282817014727e-08,0.00598949901266968,43356.2719249903,65451.6969448778,65548.5176913173,499840.281094357,749961.298320838,691505.910788366,9762563.44698064,14466592.0047343,11397487.5655308
"107",106,6.53732046213057e-09,1.08306998719896e-08,0.00552004290989544,40022.8833193695,60419.5313289766,60508.9085934283,473965.912716316,711169.17434492,656125.185716303,9791771.2039643,14510416.2943261,11437907.9001702
"108",107,5.8088373209454e-09,9.60894744151867e-09,0.00510756357486344,36945.7778096593,55774.2569927191,55856.7630025767,449349.703627698,674260.764732698,622428.95536948,9819464.51856263,14551969.9782746,11476256.2765204
"109",108,5.19146449495674e-09,8.5750377018798e-09,0.00474381315002341,34105.2514150101,51486.1283208593,51562.2913165006,425937.501196266,639155.229783963,590348.0243806,9845717.24738871,14591363.6418952,11512631.6795591
