time,S1,S2,S3,E1,E2,E3,I1,I2,I3,R1,R2,R3,run
128,13.90617875242387,18.817508242577567,2088.740340385115,16625.24068873487,25845.991225046724,48606.34130727779,242417.019289272,370366.0132463727,469915.9547154937,10046703.833843248,14885774.178020352,11633930.963636851,15
129,13.313794980334798,17.974998903600685,2020.2967386834944,15347.600374741405,23859.66613317639,44935.04784196369,229539.8964911345,350725.53195262345,446178.5104823134,10060859.189339152,14907401.826915313,11661408.144937048,15
130,12.775965459115934,17.211526882879724,1957.4560165245202,14168.137328869803,22025.98107515043,41540.635918727945,217317.37411820504,332080.65472046385,423549.3579866532,10074261.712587474,14927881.15267752,11687494.550078103,15
131,12.28664173116339,16.518160288216286,1899.673116448859,13079.309131394204,20333.209103166828,38402.34126933524,205718.6547580199,314384.7882718293,401984.6299248053,10086949.749468865,14947270.484464733,11712255.355689421,15
132,11.840563630967676,15.887151704504955,1846.465415245763,12074.152494608923,18770.523742931542,35500.93611278649,194714.17185907744,297593.17791821755,381441.4623233625,10098959.835082693,14965625.411187163,11735753.136148617,15
133,11.433142496892115,15.311759990477421,1797.4045489742255,11146.238849146313,17327.929933017054,32818.61887279782,184275.56125471595,281662.8676653701,361878.0510407987,10110326.766753651,14982998.890641639,11758047.92553744,15
134,11.060363543998095,14.786101721499971,1752.1094277074,10289.633326590441,15996.20024540228,30338.91123214942,174375.63103161793,266552.6574886839,343253.69670566625,10121083.67527826,14999441.356164208,11779197.28263449,15
135,10.71870397655065,14.305026916844136,1710.2402512191795,9498.856880550395,14766.815986302669,28046.56214101916,164988.3300928165,252223.05833826752,325528.8393195141,10131262.094322668,15015000.820648529,11799256.35828826,15
136,10.405064075737316,13.86401473151943,1671.4933690783305,8768.851307549978,13631.91280622159,25927.4583949033,156088.7157254455,238636.2453700611,308665.0836512826,10140892.02790294,15029722.977809003,11818277.964584747,15
137,10.116709020651061,13.459085618974528,1635.596854988356,8094.94694693696,12584.230475890565,23968.541401969742,147652.92044758666,225756.0098428199,292625.21645459696,10150002.015896467,15043651.300595688,11836312.645288458,15
138,9.851219617803034,13.086727128842913,1602.3066868425756,7472.832855590352,11617.066510531122,22157.729768155074,139658.1183761029,213547.71006951208,277373.21645011054,10158619.1975487,15056827.136692846,11853408.747094905,15
139,9.606450448802757,12.74383102970756,1571.4034417565,6898.5292685845725,10724.233348782349,20483.847339816206,132082.4913280147,201978.2217653456,262874.25793175306,10166769.372952964,15069289.801054861,11869612.491286686,15
140,9.38049421479376,12.427639868646958,1542.6894300152844,6368.3621712300965,9900.01881481068,18936.556357353806,124905.19484149996,191015.88809278875,249094.7087782809,10174477.062493067,15081076.665452551,11884968.045434361,15
141,9.171651273325454,12.135701418889857,1515.9862040118262,5878.939821124161,9139.14961266529,17506.295388221195,118106.3242787318,180630.4696661919,236002.12357968913,10181765.564248882,15092223.245019743,11899517.594828088,15
142,8.978403539180045,11.86582974123232,1491.1323883165478,5427.131071082878,8436.757620972094,16184.221723564264,111666.88115127722,170793.09474459777,223565.23252159436,10188657.009374114,15102763.281804709,11913301.413366536,15
143,8.799392063574306,11.61607180724744,1467.9817853886857,5010.045355154409,7788.348773675816,14962.1579389816,105568.7397894554,161476.20981070658,211753.9266093643,10195172.41546334,15112728.825343829,11926357.933666276,15
144,8.633397722669704,11.384678813182232,1446.4017184147747,4625.014210395726,7189.7743288414,13832.542336225279,99794.61445970135,152653.53070644333,200539.2397572731,10201331.737932194,15122150.310285922,11938723.816188099,15
145,8.479324541626841,11.170081461014055,1426.2715785893693,4269.574216792565,6637.204342606559,12788.38299883906,94328.02701842025,144299.9944708734,189893.3282160203,10207153.91944026,15131056.631105078,11950434.017206565,15
146,8.336185258635163,10.970868603937122,1407.4815490362678,3941.4512466702654,6127.103179323917,11823.215210571496,89153.27517688884,136391.71200407695,179789.44776427854,10212656.937391195,15139475.213948013,11961521.855476128,15
147,8.203088797702534,10.785768752732638,1389.9314816689862,3638.5459232349954,5656.206901826416,10931.062000775399,84255.40143931039,128905.92166078661,170201.92904624867,10217857.849548671,15147432.085668651,11972019.077471321,15
148,8.079229372108257,10.613634021156681,1373.5299067405035,3358.920195549941,5221.502397670189,10106.397595820503,79620.16276502529,121820.94385990368,161106.15139723467,10222772.837810066,15154951.940108422,11981955.92110022,15
