time,regions,sf6
1989,MAF,0.04953929277029563
1989,SSA,0.058284495650984175
1989,SIS,0.0
1990,USA,1.869087995736143
1990,CAN,0.22651128054106925
1990,WEU,0.8089688042874065
1990,JPK,0.7523656844225546
1990,ANZ,0.031904463040961326
1990,EEU,0.001712440190459737
1990,FSU,0.09552483176203387
1990,MDE,0.35244666454345325
1990,CAM,0.029716217306410542
1990,LAM,0.07961900545317638
1990,SAS,0.2653199181244221
1990,SEA,0.21662321509159904
1990,CHI,0.06724493789756816
1990,MAF,0.05239912061712914
1990,SSA,0.06029989316375181
1990,SIS,2.5720945027568558e-6
1991,USA,1.9466364610130602
1991,CAN,0.23402683201518523
1991,WEU,0.8573474228679361
1991,JPK,0.7933758865546245
1991,ANZ,0.03522849929738363
1991,EEU,0.0011870480294065354
1991,FSU,0.07625902473615313
1991,MDE,0.3653954961569685
1991,CAM,0.03173955962883302
1991,LAM,0.09208904102154494
1991,SAS,0.2761405410107866
1991,SEA,0.22989434052960536
1991,CHI,0.08171326816075918
1991,MAF,0.05433161703784826
1991,SSA,0.06256758782525783
1991,SIS,0.00019704929223151
1992,USA,2.026352091537197
1992,CAN,0.2416628543007188
1992,WEU,0.9075247791555673
1992,JPK,0.8359022057692643
1992,ANZ,0.03875477539491838
1992,EEU,0.0006385117040836663
1992,FSU,0.05820213123306974
1992,MDE,0.3787156916284485
1992,CAM,0.0338500612180335
1992,LAM,0.10551960368352105
1992,SAS,0.2873858845813312
1992,SEA,0.2441458861887614
1992,CHI,0.09821399403989418
1992,MAF,0.056306857045102555
1992,SSA,0.06488155058139558
1992,SIS,0.00040554385301898256
1993,USA,2.1082953040277244
1993,CAN,0.24942052646820742
1993,WEU,0.9595360551465606
1993,JPK,0.8799797363875435
1993,ANZ,0.04249097729484863
1993,EEU,6.697047571777071e-5
1993,FSU,0.04127796837211495
1993,MDE,0.3924265102318479
1993,CAM,0.036050018259265515
1993,LAM,0.11996253496198736
1993,SAS,0.29908331804310895
1993,SEA,0.2594658838636729
1993,CHI,0.11700252519788994
1993,MAF,0.05832593009199964
1993,SSA,0.06724257505603055
1993,SIS,0.000628474716014992
1994,USA,2.192529277733461
1994,CAN,0.2573024191016401
1994,WEU,1.013418501004137
1994,JPK,0.9256483644265113
1994,ANZ,0.04644547004171034
1994,EEU,0.0
1994,FSU,0.02541429523927437
1994,MDE,0.40654799600329883
1994,CAM,0.03834173418195954
1994,LAM,0.1354719279591149
1994,SAS,0.3112618778168423
1994,SEA,0.2759500045959008
1994,CHI,0.1383657000229083
1994,MAF,0.06038997719015054
1994,SSA,0.06965143382746705
1994,SIS,0.0008662826667916292
1995,USA,2.2791188645383382
1995,CAN,0.2653111523755666
1995,WEU,1.0692100580100745
1995,JPK,0.972948940876422
1995,ANZ,0.05062693459244859
1995,EEU,0.0
1995,FSU,0.01054182082363902
1995,MDE,0.42110117958769705
1995,CAM,0.04072756862110173
1995,LAM,0.15210461931451752
1995,SAS,0.32395239102517925
1995,SEA,0.2937022291607271
1995,CHI,0.1626255408963313
1995,MAF,0.06250016448832763
1995,SSA,0.07210890936284443
1995,SIS,0.0011194212290799638
1996,USA,2.3956542752746617
1996,CAN,0.2730603948458594
1996,WEU,1.1338828960746754
1996,JPK,1.0558943047590283
