date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-05-06,US,782787,157004822,1580094,108926627,2530627,274915323,,,896875,55541453,1395732,134116885,,,575080,44786084,898632,109041458,,,107522,8551843,110806,8627243,,,,,,
2021-05-07,US,799990,157804812,1948293,110874920,2517988,277433311,,,1118532,56659985,1608176,135725061,,,715727,45501811,1083213,110124671,,,113447,8665290,112414,8739657,,,,,,
2021-05-08,US,506432,158311244,1751851,112626771,1540466,278973777,,,1037011,57696996,1491788,137216849,,,610828,46112639,969678,111094349,,,103431,8768721,104712,8844369,,,,,,
2021-05-09,US,204882,158516126,1631473,114258244,616881,279590658,,,997998,58694994,1440248,138657097,,,544768,46657407,838842,111933191,,,88242,8856963,89433,8933802,,,,,,
2021-05-10,US,485065,159001191,1272536,115530780,1610150,281200808,,,810722,59505716,1181558,139838655,,,357964,47015371,596087,112529278,,,103814,8960777,104621,9038423,,,,,,
2021-05-11,US,660006,159661197,1045579,116576359,2055422,283256230,,,621749,60127465,922034,140760689,,,275297,47290668,460837,112990115,,,148427,9109204,149988,9188411,,,,,,
2021-05-12,US,646654,160307851,1071080,117647439,2023516,285279746,,,597596,60725061,876048,141636737,,,396214,47686882,592846,113582961,,,76666,9185870,77651,9266062,,,,,,
2021-05-13,US,928989,161236840,1339869,118987308,2284229,287563975,,,736504,61461565,1056018,142692755,,,517269,48204151,771281,114354242,,,85540,9271410,86680,9352742,,,,,,
2021-05-14,US,1094794,162331634,1271329,120258637,2458842,290022817,,,651639,62113204,988136,143680891,,,541597,48745748,773542,115127784,,,77566,9348976,78862,9431604,,,,,,
2021-05-15,US,908783,163240417,1509631,121768268,1851557,291874374,,,735715,62848919,1326225,145007116,,,647931,49393679,938670,116066454,,,125328,9474304,126795,9558399,,,,,,
2021-05-16,US,478096,163718513,1514417,123282685,935172,292809546,,,775645,63624564,1551228,146558344,,,643763,50037442,1065173,117131627,,,94686,9568990,95632,9654031,,,,,,
2021-05-17,US,889593,164608106,-282964,122999721,1829380,294638926,,,-118562,63506002,-269654,146288690,,,-147515,49889927,-333237,116798390,,,-16887,9552103,-16905,9637126,,,,,,
2021-05-18,US,994850,165602956,1455972,124455693,2080655,296719581,,,816009,64322011,1672587,147961277,,,526671,50416598,822391,117620781,,,113038,9665141,114074,9751200,,,,,,
2021-05-19,US,988684,166591640,997730,125453423,2093509,298813090,,,550196,64872207,1107338,149068615,,,368468,50785066,560430,118181211,,,78502,9743643,85416,9836616,,,,,,
2021-05-20,US,924012,167515652,1151743,126605166,2027077,300840167,,,588841,65461048,1273623,150342238,,,458641,51243707,723675,118904886,,,103673,9847316,108020,9944636,,,,,,
2021-05-21,US,935943,168451595,0,126605166,2069272,302909439,,,0,65461048,0,150342238,,,0,51243707,0,118904886,,,0,9847316,0,9944636,,,,,,
2021-05-22,US,731427,169183022,2401297,129006463,1453233,304362672,,,1176828,66637876,2733607,153075845,,,1008863,52252570,1588366,120493252,,,214479,10061795,218606,10163242,,,,,,
2021-05-23,US,338987,169522009,1007712,130014175,659296,305021968,,,486560,67124436,1043579,154119424,,,429095,52681665,632325,121125577,,,91623,10153418,102181,10265423,,,,,,
